57 138 12/31/1979
140 126 12/31/1979
138 30 12/31/1979
138 30 12/31/1979
79 54 12/31/1979
79 54 12/31/1979
54 137 12/31/1979
54 133 12/31/1979
54 79 12/31/1979
54 140 12/31/1979
54 137 12/31/1979
54 133 12/31/1979
54 79 12/31/1979
140 94 05/11/1999
140 94 05/11/1999
43 13 05/11/1999
43 13 05/11/1999
126 140 05/12/1999
126 140 05/12/1999
131 22 05/13/1999
126 94 05/17/1999
126 94 05/17/1999
126 94 05/18/1999
126 94 05/18/1999
140 94 05/24/1999
140 94 05/24/1999
126 140 05/25/1999
126 140 05/25/1999
140 94 05/26/1999
140 94 05/26/1999
140 13 05/27/1999
140 13 05/27/1999
140 137 05/28/1999
140 137 05/28/1999
126 94 05/28/1999
126 94 05/28/1999
126 94 06/01/1999
126 94 06/01/1999
140 13 06/03/1999
140 13 06/03/1999
140 13 06/03/1999
140 13 06/03/1999
13 131 06/09/1999
13 131 06/09/1999
140 13 06/10/1999
140 13 06/10/1999
43 138 06/14/1999
43 138 06/14/1999
126 13 06/14/1999
126 13 06/14/1999
126 13 06/15/1999
126 13 06/15/1999
43 138 06/15/1999
43 138 06/15/1999
131 22 06/17/1999
43 138 06/17/1999
43 138 06/17/1999
126 13 06/17/1999
126 13 06/17/1999
43 138 06/18/1999
43 138 06/18/1999
131 22 06/22/1999
43 138 06/28/1999
43 138 06/28/1999
43 138 06/29/1999
43 138 06/29/1999
43 138 06/29/1999
43 138 06/29/1999
43 138 06/29/1999
43 138 06/29/1999
126 94 07/01/1999
126 94 07/01/1999
131 22 07/06/1999
126 94 07/06/1999
126 94 07/06/1999
131 22 07/09/1999
137 126 07/16/1999
137 126 07/16/1999
126 94 07/23/1999
126 94 07/23/1999
126 94 07/23/1999
126 94 07/23/1999
126 137 07/27/1999
126 137 07/27/1999
140 13 07/27/1999
140 13 07/27/1999
126 94 07/28/1999
126 94 07/28/1999
140 33 07/28/1999
140 33 07/28/1999
126 94 07/28/1999
126 94 07/28/1999
126 94 07/28/1999
126 94 07/28/1999
126 137 07/28/1999
126 137 07/28/1999
140 94 07/30/1999
140 94 07/30/1999
126 13 08/02/1999
126 13 08/02/1999
126 94 08/02/1999
126 94 08/02/1999
126 94 08/02/1999
126 94 08/02/1999
126 94 08/03/1999
126 94 08/03/1999
126 94 08/03/1999
126 94 08/03/1999
43 138 08/05/1999
43 138 08/05/1999
126 94 08/06/1999
126 94 08/06/1999
126 94 08/10/1999
126 94 08/10/1999
126 137 08/11/1999
126 94 08/11/1999
126 137 08/11/1999
126 94 08/11/1999
126 137 08/11/1999
126 137 08/11/1999
126 137 08/11/1999
126 137 08/11/1999
140 13 08/12/1999
140 13 08/12/1999
126 137 08/12/1999
126 137 08/12/1999
140 126 08/12/1999
140 126 08/12/1999
140 33 08/17/1999
140 33 08/17/1999
126 137 08/23/1999
126 137 08/23/1999
126 13 08/24/1999
126 13 08/24/1999
140 88 08/25/1999
140 88 08/25/1999
140 137 08/25/1999
140 94 08/25/1999
140 137 08/25/1999
140 94 08/25/1999
140 88 08/25/1999
140 88 08/25/1999
126 13 08/26/1999
126 13 08/26/1999
140 94 08/26/1999
140 94 08/26/1999
126 137 08/26/1999
126 137 08/26/1999
140 137 08/27/1999
140 137 08/27/1999
140 137 08/27/1999
140 94 08/27/1999
140 137 08/27/1999
140 94 08/27/1999
137 126 08/27/1999
137 126 08/27/1999
140 94 08/30/1999
140 137 08/30/1999
140 94 08/30/1999
140 137 08/30/1999
137 126 08/30/1999
137 126 08/30/1999
140 94 08/31/1999
140 137 08/31/1999
140 94 08/31/1999
140 137 08/31/1999
126 137 08/31/1999
126 137 08/31/1999
